,title,job_url,location,closing_Date
0,Administrative Assistant to the Vice-President ( 2 Positions) – SENATE,https://www.ndangira.net/administrative-assistant-to-the-vice-president-2-positions-senate/," Location: Kigali, Rwanda "," May 05,2022 "
1,Communication Officer ( 2 Positions) – SENATE,https://www.ndangira.net/communication-officer-2/," Location: Kigali, Rwanda "," May 05,2022 "
2,Protection Assistant – UNHCR Rwanda,https://www.ndangira.net/protection-assistant-unhcr-rwanda/," Location: Huye, Rwanda "," May 09,2022 "
3,Innovation Facilitator – FAO Rwanda,https://www.ndangira.net/innovation-facilitator-fao-rwanda/," Location: Kigali, Rwanda "," May 10,2022 "
4,Loan Officers – ASA Microfinance (Rwanda) Plc,https://www.ndangira.net/loan-officers-asa-microfinance-rwanda-plc-2/," Location: Kigali, Rwanda "," May 20,2022 "
0,Job vacancies –  Save the Children,https://www.ndangira.net/save-the-children-jobs-in-rwanda/," Location: Kigali, Rwanda ", Varies 
1,Job opportunities – World Relief Rwanda,https://www.ndangira.net/job-vacancies-world-relief-rwanda/," Locations: Kigali, Rwanda ", Varies 
2,Job opportunities – Rwanda Development Organization (RDO),https://www.ndangira.net/job-opportunities-rwanda-development-organization-rdo/," Location : Kigali, Rwanda "," April 29,2022 "
3,Job vacancies – Energy Development Corporation Limited (EDCL),https://www.ndangira.net/job-vacancies-energy-development-corporation-limited-edcl/," Location : Kigali, Rwanda "," May 04,2022 "
4,Job opportunities – Interpeace,https://www.ndangira.net/job-opportunities-interpeace/," Location: Kigali, Rwanda "," May 04 & 06,2022 "
0,Accounts Assistant – African Management Institute,https://www.ndangira.net/accounts-assistant-african-management-institute/," Location: Kigali, Rwanda "," May 11,2022 "
1,Audio Visual Communication Officer – UN Volunteer,https://www.ndangira.net/audio-visual-communication-officer-un-volunteer/," Location: Kigali, Rwanda "," May 03,2022 "
2,Internship opportunity – UNDP Rwanda,https://www.ndangira.net/internship-opportunity-undp-rwanda-2/," Location: Kigali, Rwanda "," April 30,2022 "
3,Human Resources Associate – UNICEF Rwanda,https://www.ndangira.net/human-resources-associate-unicef-rwanda/," Location: Kigali, Rwanda "," April 27,2022 "
4,E T Temporary ( Team Assistant ) – World Bank Group,https://www.ndangira.net/e-t-temporary-team-assistant-world-bank-group/," Location: Kigali, Rwanda "," April 22,2022 "
0,Rural Physical Planner ( 3 Positions) – Rwanda Land Management and use Authority,https://www.ndangira.net/rural-physical-planner-3-positions-rwanda-land-management-and-use-authority/," Location: Kigali, Rwanda "," April 29,2022 "
1,Internship Opportunity – IntraHealth,https://www.ndangira.net/internship-opportunity-intrahealth/," Location: Kigali, Rwanda "," April 27,2022 "
2,Advisor and Liaison Officer – GIZ Rwanda,https://www.ndangira.net/advisor-and-liaison-officer-giz-rwanda/," Location: Kigali, Rwanda "," May 04,2022 "
3,Operations manager  – Handicap International Federation,https://www.ndangira.net/operations-manager-handicap-international-federation/," Location: Kigali, Rwanda "," May 15,2022 "
4,Marketing and Public Relations Director – Green Hills Academy,https://www.ndangira.net/marketing-and-public-relations-director-green-hills-academy/," Location: Kigali, Rwanda "," April 29,2022 "
0,Job & Internship opportunities – AIMS Rwanda,https://www.ndangira.net/job-opportunities-aims-rwanda/," Location : Kigali, Rwanda ", Varies 
1,Job vacancies – U.S Embassy in Rwanda,https://www.ndangira.net/job-vacancies-u-s-embassy-in-rwanda/," Location: Kigali, Rwanda ", Varies 
2,Job Vacancies – National Bank of Rwanda,https://www.ndangira.net/job-vacancies-national-bank-of-rwanda/," Location: Kigali, Rwanda "," April 29,2022 "
